dp_secondary_id,primary_care_service_area_pcsa_label,primary_care_service_area_id,state_abbreviation,total_primary_care_providers_pcps,non_institutionalized_population,ratio_of_non_institutionalized_population_to_total_number_of_primary_care_providers,percent_of_pcsa_in_rural_area,population_age_0_14_years,population_age_15_64_years,population_age_65_years_or_greater,percent_of_population_age_0_14_years,percent_of_population_age_15_64_years,percent_of_population_age_65_years_or_greater,population_male,population_female,percent_of_population_male,percent_of_population_female,percent_of_population_black,percent_of_population_hispanic,percent_of_population_non_black,percent_of_population_non_hispanic,percent_of_population_non_white,percent_of_population_white,number_of_women_of_childbearing_age,population_american_indian_and_alaska_native_alone,population_asian_alone,population_native_hawaiian_and_other_pacific_islander_alone,families_for_whom_poverty_status_was_determined,families_with_income_below_1_00_times_the_u_s_federal_poverty_level_percent_of_total_by_primary_care_service_area,percent_of_population_with_known_income_below_1_00_times_the_u_s_poverty_guidelines_by_primary_care_service_area,percent_of_population_with_known_income_below_2_00_times_the_u_s_poverty_guidelines_by_primary_care_service_area,population_density,rural_population,total_population,preference_index,localization_index,number_of_primary_care_physicians,number_of_primary_care_physicians_1,non_federal,number_of_specialist_physicians,non_federal_1,number_of_ob_gyn_physicians,non_federal_2,number_of_primary_care_physician_assistants,number_of_gp_im_pediatric_physician_assistants,number_of_ob_gyn_physician_assistants,number_of_physician_assistants_with_specialty_as_geriatrics_or_unknown,number_of_dentists,non_federal_3,full_time_practice,number_of_dentists_1,non_federal_4,part_time_practice,primary_care_fte_physicians_for_mua_or_hpsa_purposes,crude_rate_primary_care_physicians,clinically_active,population_per_clinically_active_primary_care_physician,number_of_federally_qualified_health_center_look_alikes_located_in_pcsa,number_of_federally_qualified_health_centers_located_in_pcsa,number_of_tribal_run_sites_located_in_pcsa,number_of_indian_health_service_sites_located_in_pcsa,number_of_rural_health_clinics_located_in_pcsa,x64
06037123700,CA00_NORTH HOLLYWOOD,06037123700,CA,11,59122,"5,375:1",0,11004,41744,6544,6.36,70.4,11.04,29240,30052,49.32,50.68,3.44,44.91,96.56,55.09,38.38,61.62,13195,301,4736,86,13404,1933,16.32,43.87,10744.3238,0,59292,0.1444,0.1518,8,8,7,2,3,0,0,3,23,4,10.7,13.4925,7411.5,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037481711,CA00_MONTEREY PARK,06037481711,CA,282,369847,"1,312:1",0,69464,254960,48328,6.49,68.4,12.97,182435,190317,48.94,51.06,0.87,45.23,99.13,54.77,71.13,28.87,79000,2673,176247,301,85358,11462,16.14,42.31,9958.9646,0,372752,0.5872,0.6568,245,244,261,33,37,9,0,28,271,31,298.1,65.7273,1521.4367,3,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037500201,CA00_LA HABRA,06037500201,CA,60,96527,"1,609:1",0,20932,65764,10782,7.9,67.47,11.06,48010,49468,49.25,50.75,1.46,66.7,98.54,33.3,36.07,63.93,20925,1103,4489,207,22553,1445,8.51,25.8,6344.2029,0,97478,0.2846,0.3024,53,51,49,8,7,5,0,2,35,13,59.1,54.3712,1839.2075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06001430900,CA00_CASTRO VALLEY,06001430900,CA,51,92875,"1,821:1",0,16991,66343,12120,6.21,69.5,12.7,46175,49279,48.37,51.63,10.69,20.92,89.31,79.08,47.62,52.38,19377,709,18840,1012,23427,1187,8.31,20.4,1272.8917,631,95454,0.4412,0.412,42,42,100,11,9,4,1,4,66,17,57.1,44.0003,2272.7143,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037402102,CA00_POMONA,06037402102,CA,217,251804,"1,160:1",0,56706,177877,26122,7.67,68.23,10.02,128635,132070,49.34,50.66,6.03,58.33,93.97,41.67,44.55,55.45,58492,2682,23174,463,56108,6433,14.22,39.07,4806.8481,28,260705,0.5385,0.5427,169,167,191,18,48,24,1,23,103,24,194.9,64.8242,1542.6331,0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037502100,CA02_WHITTIER,06037502100,CA,61,46833,768:1,0,10437,30787,5171,8.14,66.36,11.15,22652,23743,48.82,51.18,1.5,85.91,98.5,14.09,43.2,56.8,10287,693,1047,75,10246,1042,11.67,36.79,5641.4075,0,46395,0.1371,0.1204,54,54,88,7,7,4,0,3,6,1,65.4,116.3919,859.1667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037503602,CA00_LA MIRADA,06037503602,CA,33,31634,959:1,0,5998,23585,4317,6.71,69.57,12.73,16330,17570,48.17,51.83,2.06,47.37,97.94,52.63,35.89,64.11,7976,317,3677,103,7858,262,5.41,21.99,7702.3449,0,33900,0.1622,0.1632,31,30,20,3,2,0,0,2,18,1,34.5,91.4454,1093.5484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037533403,CA00_MAYWOOD,06037533403,CA,12,35001,"2,917:1",0,9254,23201,2093,8.74,67.16,6.06,17621,16927,51,49,0.6,97.55,99.4,2.45,47.98,52.02,8112,268,97,26,7148,1489,21.41,57.42,21770.3399,0,34548,0.1368,0.1347,5,5,2,1,7,5,0,2,8,1,6,14.4726,6909.6,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037552700,CA01_NORWALK,06037552700,CA,11,46015,"4,183:1",0,10464,30741,4563,8.24,67.17,9.97,22588,23180,49.35,50.65,3.61,70.92,96.39,29.08,52.85,47.15,10073,533,6020,204,10010,893,12.08,34.14,12356.8823,0,45768,0.1464,0.1724,6,6,1,0,5,2,1,2,18,1,6.2,13.1096,7628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037300800,CA02_GLENDALE,06037300800,CA,55,117878,"2,143:1",0,19892,81679,16485,6.77,69.19,13.96,57491,60565,48.7,51.3,1.2,16.5,98.8,83.5,29.26,70.74,21951,453,21071,82,31107,2025,8.07,21.26,2961.0004,313,118056,0.3061,0.2688,50,50,89,10,5,4,0,1,73,9,63.3,42.3528,2361.12,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
